CMPL	1	31657	6aa1ccf9ecc8c60d
id	category	name	lat	lon	address	description
jalsa-amitabh-bacchan-house	TOURIST	Jalsa (Amitabh Bacchan House)	19.104909	72.827534	Juhu, Mumbai 400049	Attraction in Juhu (400049).
gender-science-exhibit	TOURIST	Gender & Science Exhibit	19.042172	72.928049	Anu Shakti Nagar, Mumbai 400094	Attraction in Anu Shakti Nagar (400094).
ideal-wafer-house	TOURIST	Ideal Wafer House	18.955639	72.820353	Girgaon, Mumbai 400004	Attraction in Girgaon (400004).
assisi-mansion	TOURIST	Assisi mansion	18.955800	72.820431	Girgaon, Mumbai 400004	Attraction in Girgaon (400004).
amir-khan-house	TOURIST	Amir Khan House	19.069920	72.826083	Bandra West, Mumbai 400050	Attraction in Bandra West (400050).
bandra-fort-gate	TOURIST	Bandra Fort Gate	19.042924	72.818597	Bandra West, Mumbai 400050	Attraction in Bandra West (400050).
laundry-ghat	TOURIST	Laundry Ghat	18.945715	72.792914	Malabarhill, Mumbai 400006	Attraction in Malabarhill (400006).
powai-vatika	TOURIST	Powai Vatika	19.122915	72.906933	IIT Powai, Mumbai 400076	Attraction in IIT Powai (400076).
gslv-rocket-model	TOURIST	GSLV Rocket Model	19.180079	72.939634	Mulund West, Mumbai 400080	Attraction in Mulund West (400080).
steam-engine	TOURIST	Steam Engine	18.990984	72.819712	Worli, Mumbai 400018	Attraction in Worli (400018).
ncs-ground	TOURIST	NCS Ground	18.910121	72.806148	Tula Road, Colaba, Mumbai 400005	Stadium in Colaba (400005).
sardar-vallabhbhai-patel-indoor-stadium	TOURIST	Sardar Vallabhbhai Patel Indoor Stadium	18.986476	72.815443	Lala Lajpatrai Marg, Worli, Mumbai 400018	Stadium in Worli (400018).
sant-jalaram-bappa-market	TOURIST	Sant Jalaram Bappa Market	19.172860	72.954586	Sewaram Lalwani Road, Mulund West, Mulund (West) 400080	Market in Mulund West (400080).
go-bonkers	TOURIST	Go Bonkers	18.914299	72.826145	Harbour Heights service road, Colaba, Mumbai 400005	Theme park in Colaba (400005).
albela-hanuman-mandir	TOURIST	Albela Hanuman Mandir	19.015835	72.851561	712-718 G.D. Ambedkar Marg (Katrak Road), Wadala, Mumbai 400014	Hindu place of worship in Wadala (400031).
